userName,content,score,sentimen
920_ Moch Alvin Tessar,perbesarrr databasenyaa woiii masaa gw tiap ngewar tiket mesti nunggu timeout hadehh,1,negatif
Nayla Ramadhani,"NGGA BANGET, KALO MAU PESEN YANG LOKAL SERVERNYA SERING EROR DOWN SERING BANGET ERORNYA, PADAHAL DULU NGGA KAYAK GITU",1,negatif
Annisa Intan,waktu rame servernya lemot bngt gabisa buat pesen tiket!!!!!!!!!!! Tolong diperbaiki,1,negatif
Davamaulana _,KAI timeout terus,1,negatif
Reza Aldev,"baru tau ikut war jam 00.00, padahal early itu bisa gadapet mantap dah, harusnya ditingkatkan buat aplikasi bukan malah dikorupsi uangnya dasar hama",1,negatif
RA Channel,mau pesan time out pdhl sinyal full,1,negatif
Riki Tedisyah,down tiap war doho.,1,negatif
Ari Prasetyo Ari27,"aplikasi enggak jelas tiap mau pesen,time out terus... ..",1,negatif
Cahyo Rhino,"ada ke anehan seperti sudah di atur server di perburuk setiap hari Minggu selalu sulit mendapatkan tiket padahal sudah stanby dari jam 00.00 sudah dapat tiket tinggal bayar tapi di persulit dan gagal, Alhasil kembali awal tiket sudah habis tinggal tanpa kursi bahkan habis semua!!!",1,negatif
34_Mita Sofita,Aplikasi paling dzolim yang pernah ku pake,1,negatif
Rani Awang,"lemot, banyak time out nya. tolong perbaikan atau balik ke offline kayak dulu!!!",1,negatif
Fauzann,timeout terus jadi gabisa payment,1,negatif
bagus santoso,aplikasi busuk apa ini percuma aku pesen tiket tengah malan ujung - ujungnya timeout mulu,1,negatif
Dea Septiyani Jayanti,APLIKASI CACAT,1,negatif
Satrio Helambang,"aplikasi sering error, timeout terus koneksi internet padahal stabil pakai providers di speed 150mbps,",1,negatif
Jaka Setiawan,apk lelet munyer2,1,negatif
Nova Dwi Pamungkas,"udah niat mau war tiket dan udah dapat tiket tinggal bayar malah timeout, coba masuk lagi timeout lagi sampek setengah jam coba terus akhirnya tiket sudah habis. keren banget emang aplikasi ini, wajib dikasih bintang 1.",1,negatif
13 Laksana Dimas,"Aplikasi terburuk yang pernah ada. Harga tiket semakin melonjak tapi ga sebanding dengan kualitas aplikasi. Sekelas perusahaan gede tapi aplikasi kalah kayak aplikasi OTA sebelah. Sering pas masuk buat pesen time out. No pembayaran ngga muncul, qris ga keluar",1,negatif
vera eka,tolong di perbaiki dong beli tiket lokal pas tgl merah dobel dll slalu eror yg timeout lah yg gada jadwal lah yg kode qr gk kluar lah tolong bgt KAI saya stiap minggu pulang ke kotaku tpi psti kena eror kdang tgl muda. kdang semenit aja udh hbis. gini kok di adain aplikasi eror terossssss heran mripat mecicil tros lo,1,negatif
Junta Resar Putra,timeout terusss gimana sih.. mohon diperbaiki,1,negatif
Marcellinus Ivan,"semakin aneh , timeout terus ketika check out",1,negatif
Zuqni Allaika,"gajelas,not seat not seat udah war begadang ga jelas!!!",1,negatif
David Whittery,"tolong di perbaiki, sudah saya isi saldo tapi ga masuk di kaspro ga cuma sekali kaya gini",1,negatif
Muhammad Hayat Hisbulloh,gak bisa Upgrade akun,1,negatif
Kadarsih 0202,LAMA NGINSTALNYA,1,negatif
Tanti Wulandari,"di update bukannya makin baik malah jadi jelek. tiba2 logout sendiri, pas mau login gak bisa2.",1,negatif
Rizky Hidayat,biaya pembatalan terlalu besar,1,negatif
nurul,makin di update makin gak bener mau mesen tiket malah jadwal tidak di temukan udah pindah ke tanggal yang lain masih aja sama gimana coba kalo kek gini udah mesen offline susah online makin ribet,1,negatif
Iek Virawati24,"kenapa ini? sejak tadi saya tidak bisa login, padahal saya butuh tiket",1,negatif
Qiana Banu,"Minimal kalo Transaksi gagal jangan motong saldo, udah 2x begini barcode gak timbul saldo ttp kepotong..",1,negatif
M Fajar N,"aplikasi tolol, saldo sudah terpotong tpi tiket tidak muncul di aplikasj",1,negatif
Alma Maulida,"Uda aktifin KAI pay Masi ada saldo nya, pas top up malah harus aktifin lagi, pas order tiket saldo ngurangin tapi gaada di tiket saya pas ke stasiun gabisa aduh tolong dibenerin tuh kecewa berat, cs susah dihubungi gajelas",1,negatif
Mahadian,"Bapuk banget sih ni apk, mau pesen tiket krl aja gangguan mulu. udah isi saldo, internet jga lancar, ttep gabisa mau beli tike, aneh udh coba update apk jga ttep aja gabisa.",1,negatif
Rian Yogo,aplikasi error mengakibatkan kehabisan kursi padahal sudah mengakses sejak pagi seminggu sebelumnya,1,negatif
Abdurrahman Fikri,mau ganti jadwal dak bisa hadeh,1,negatif
D'Simply Live,"Keluhan aplikasi: *Saat telpon CS, suara speaker telinga/atas gk bunyi, suara malah ada di speaker bawah dan gk bisa loudspeaker 🤦🤦🤦 *saldo top up kai pay tidak real time *biaya top up dari bank ke kai pay terlalu besar *harusnya biaya top up dari KAI pay ke kartu commuter gratis, jangan biaya lagi. *menu cek kartu commuter kurang praktis dan kdang susah untuk konek nfcnya. (wlpun konek gk langsung terbaca kartunya, harus restart aplikasi) *dan banyak lagi mohon perbaikan aplikasi segera.",1,negatif
Krisna Jaya Tekhnik,"Tolong perbaiki lagi Apk nya, sudah pesan tiket, saldo kai pay sudah terpotong, pas cek tiket pesanan ngga muncul, sampe harus nelponin cs, nunggu lama. Harapan saya kedepanya Kai accses bisa lancar lagi & membantu masyarakat yang membutuhkan transportasi kereta api, & untuk cs, saya ucapkan terimakasih karena sudah banyak membantu.",1,negatif
lima waktu,kod otp susah banget tak ada balasan ?,1,negatif
Aulia Rahman hakim,REGISTRASI RIBET!! KACAU PARAH NI APLIKASI!!!,1,negatif
Yuli Yanti,saldo sering hilang dan pemesanan tiket sering gagal dan saldo tidak kdmbali,1,negatif
ANP Kenangan,masa geser panel notifikasi aja aplikasinya ke refres sendiri,1,negatif
Isyanto -,"jangan pernah ngisi saldo KAIPay guys, sy ada saldo Rp.73ribu sekian sekian, karena kurang buat beli tiket KAI mk sy belikan pulsa three yg 30rb, sisa 41 ribu sekian, tapi pulsa nggk masuk ke nomor three sy dan riwayat transaksi kosong di KAIPay, beberapa jam kemudian saldo KAIPay sy tiba2 mnjd 0. sy komplainlah via WA, sy disuruh kirim bukti kode pembayaran dan pemesanan, lah gmn bisa kirim SS kode2 itu klo diriwayat transaksi aja nggk ada, sy curiga emng sengaja riwayat transaksi dikosongin.",1,negatif
Dadang Akmaludin,"parah bener kai ,, pesen tiket 6 orang , dana sudah terpotong tapi keterangan gagal",1,negatif
Monisa Naafiya,"war tiket selalu kehabisan,pusat bantuan ga gercep, aplikasi kurang memuaskan ,lemot",1,negatif
Viky saputra,apk nya slalu update bosen,1,negatif
Nur Rofiko,"server tolong diperbaiki lah, udh tau lebaran pada cari tiket aplikasi isi nya error mulu. pilih tiket error, mau bayar error. gimana seh, udh bolak balik ganti dri data ke wifi masih error terus. semua disuruh online tapi aplikasi ampas, mending sediain lagi tuh tiket OTS. (Duit bukan buat perbaiki server, malah bayar buzzer buat Fake Review)",1,negatif
Ilham Hamdani,bagi saya buruk masa gabisa pake lrt saya udh top up padahal hadeuh lama banget kalo lrt giliran yg lain bisa .saya butuh pake lrt malah gabisa lama hadeuh tolong d perbaiki,1,negatif
Ahmad Maulana,aplikasi bapuk,1,negatif
Vita 123,gak bisa login gak bisa ganti password ribet banget sekarang kai,1,negatif
Yuli Purwaningsih,susah register,1,negatif
Nna Tresna,aplikasi nya eror mana belum e boarding pass,1,negatif
Uyun Alhadid,udah di transfer 50rb bukanya masuk gak masuk² malah keluar akun,1,negatif
Rani Prasetyo,"saldo terpotong, tiket tidak muncul (KRL), CS tidak respon jwban otomatis terus di minta menunggu!. keesokan hri nya baru muncul riwayat pembyrn berhasil tpi tiket tidak ada!!!",1,negatif
Bambang Daradjat,serba minus semua,1,negatif
Briliana Sinta,"topup di kai pay nih selalu delay saldo gak masuk, saldo gabisa ditarik, bikin sistem yg bener dong ini kan duit orang kocak",1,negatif
Muhammad Zukhruf,mau ganti nomor hp sudah dituruti kemauan apk nya malah sering timeout. giliran mau transfer tiket minta nomor harus seusai gue mau ganti nomor malah dipersulit. terus gimana cara mau refund atau reschedule tiket nya pakkkkk?? mau ambil keutungan banyak ya jangan pake cara dzolim atuh,1,negatif
Aan Dimyati,ok,1,positif
Niko Stasion,sistem delay,1,negatif
siti yulianti,"hari jum'at tgl 14 maret 2025 beli tiket kai lokal pp ckrg-krw. saldo terpotong 8rb, tp tiketnya gk ad sm skli udh d refresh berulang². akhirnya order kembali tp saldo masih ttp gk kembali. parah... kejadian lg k2 kalinya pesen tiket pp ckrg-krw hr ni tgl 10/4/25 saldo kepotong tp tiket gk ad. kacau parah...",1,negatif
Leni Romadona,"aplikasi penting kayak gini tolong donk jangan sering minta update, kalo update ribet banget minta email & email sdh jelas benar tp tidak bisa conec👊👊👎👎",1,negatif
armansyah Hamsyah,tiket udah bayar saldo berkurang tapi sampai time out tiket ngak muncul muncul parahhh bangett KAI Access sekarang,1,negatif
Shirazio Hitachi,"untuk registrasi member acces nya gk jelas, sulit untuk daftar, dan bug gk jelas, mohon lebih diperhatikan lagi",1,negatif
Ema Hernawati,sudah di update tp makin buruuuuuk lolaaaaaa,1,negatif
Rizalludin Akmal,"Ngebug gimana nih, buat peser KRL gak bisa gegara KAI Pay nya eror. Orang orang yang gak becus kerja gini gak usah dipakai lah. Gak mikir orang udah kepepet buat naik KRL.",1,negatif
Ricky Chrismana,"awal download aplikasi sudah bermasalah, disuruh update dari basic malah gak bisa berkali-kali coba, sampai ganti HP dan nomer tetap aja, entah bagaimana tiba-tiba bisa sendiri, nah sekarang lama aplikasi gak dipakai coba top up malah disuruh aktivasi, ehh.. tak turutin gagal terus aktivasinya. buat aplikasi kok malah mempersulit masyarakat. coba aplikasi kalau yg buat swasta pasti gampang, contoh WA, shoppe dan sejenisnya.",1,negatif
Khusuma Af,"setelah update tambah buruk, kai pay saja harus diaktivasi lagi, lg diaktivasi timeout terus, pembelian ka bandara pakai kaipay saja selama 30 menit gagal bayar dan tidak ada riwayat transaksinya sama sekali diupdate malah tambah parah!! pusat perbantuan juga engga berguna isinya cuma bot.",1,negatif
Aldino dwi Ramadanu,"gara gara aplikasi Anda, saya ketinggalan kereta, mana kereta terakhir lagi.",1,negatif
nickerie blue,aplikasi gak bagus sekelas BUMN punya aplikasi amatiran,1,negatif
Ronald Satya,Aplikasi makin gk karuan.. Jam 00:00 pesan tiket gk ada jadwal cek terus tetep. admin gabut. percuma pakai aplikasi. jaman canggih aplikasinya ketinggalan jaman..,1,negatif
RBD boy,"setelah up date akhir "" ini mengecewakan, udah melekan sampai jam 12-1 tahu"" tiket habis dan udah pilih kursi bayar ternyata tiket tidak ada, berkali"" saldo kepotong tapi tiket tidak dapat, gimana ini apa emang banyak yang korupsi juga di PT KAi, kok bisa mau di bayar tapi tiket tidak dikasih pelanggan",1,negatif
Auto Speeds,"pembayarannya msh ribet, gk bs lwt ewallet semua... merepotkan, sedngkan top up d apk nya suka kepotong gk jelas.",1,negatif
Arbhil Ardabilly,keluar akun sendiri dan gak bisa login☺ malah ada tiketnya lagih,1,negatif
Ferdi Ansyah41,"saya udah payment KAI lokal udah payment, tiba tiba kok belum lunas ya. Akhirnya saya payment yg ke 2x nya. Dan notifikasi payment lunas",1,negatif
Ade Elita,kenapa pembayaran gabisa bisa,1,negatif
Sandy 040,"sangat buruk jgn donwload dah gw udah coba top up 2x masuknya lamaaaaaaaa banget mana gw buru"" udh gitu masuk eh di potong 2900 gila top up lgi lamaaaaa pas isi kmt berhasil pas cek saldo ga bisa pas scan di krl ga bisa bnr"" buruk",1,negatif
Alex Tian Maguire,"sudah beli tiket, tiket tidak muncul tapi uang sudah terpotong!. tolong perbaiki. sudah 2 kali begini.",1,negatif
Ratih Fitriani,"ga jelas banget nih aplikasi, masuk pake no.hp atau email tp pas masukin no ktp bilangnya sudah terdaftar, jadi gatau itu nomor ktp di pake di nomor atau email mana, harusnya ada masuk juga pake no ktp biar tau gitu, mana klo mau cancel harus pake ktp pemegang tiket, nyusahin bagi yang lansia",1,negatif
Nadiya Hapsahrahmani,apk nya harus di tingkat kan sering keluar sendiri,1,negatif
diriNya,"aplikasi butut, mau pesan ticket di suruh jadi member basic. langkah langkah sudah di ikuti. upgrate member berhasil, di minta lihat profil. masih saja belum berubah ke basic member. Pesan lagi tiket... di minta lagi upgrade basic member.. gitu aja terus. aplikasi kok bloon ya",1,negatif
Asep Zaenal Arifin,okeh,1,positif
Yoko Ardo,"perbaiki apk dong, masa macet terus",1,negatif
syarifah aini,sudah 3 hari ini semua jadwal nya tidak di temukan..,1,negatif
Siska Susanty,"Mau beli tiket musti member basic, buat member basic nya ga bisa mulu udh ngisi data diri juga, ribett woii.. musti ke cs. yg simple simpe aja napa",1,negatif
Iyan Jidni,"kenpa ni aplikasi padah udh dapatr kenpa otp y selalu bermasalah mulu aneh,padah udh d kirim ttp ngga bisa",1,negatif
Porwanto,"terlalu banyak tanpa kursi, dan petugas pun malah yg dapat duduk""",1,negatif
Syarah Hanifah,"aplikasi GK jelas, udah beberapa kali nyoba, ttp untuk jadwal keretanya GK mau"" muncul, bikin apk biar praktis ini malah makin ribettt",1,negatif
Seomitsuga Hendra,apa kegunaan connectting train bila tak berfungsi?,1,negatif
Denis Ardianto,Buat pesan tiket lokal keterangannya pesanan kadaluwarsa terus. coba livechat ke CS adanya cuma suruh konfirmasi mulu.,1,negatif
Dewi Hera,"nggk jelas beli tiket sebelum lebaran kemarin,, saldo sudah terpotong tapi tiket nggk dapat,, sudah menyampaikan keluhan dan pengaduan di suruh nunggu 14 hari,, sesudah 14 hari malah baru di hitung 3 hari karena libur nasional dan cuti bersama nggk di hitung,, sudah salah di suruh nunggu lagi kecewa berat dengan KAI nggk akan pernah pake kereta lagi klo gini caranya",1,negatif
Achmad Agus Setiawan,aplikasi yang menyusahkan pengguna. Aplikasi ini mendeteksi aplikasi lain yang ada di HP anda,1,negatif
Shindy Dwita,"akhir2 ini sering sekali error, reduksi tni kadang bisa dipakai, kadang tidak padahal dengan kereta dan jurusan yang sama.",1,negatif
Muriani Alfaqih,"Mau pesan tiket online jadwal selalu kosong, masih bagusan versi yang lama",1,negatif
Atomic Flounder,"keputusan untuk menghapus pengembalian dana dari pembatalan tiket lewat e-money benar benar efektif membuat pengguna pusing. apalagi yang gak punya rekening bank itu dikarenakan rekening bank harus sama dengan pemilik tiket yang dibatalkan. benar benar mencuri hak dari pengguna. sebagai BUMN yang mengayomi rakyat, HAK rakyat harus di prioritaskan!!!",1,negatif
welcome to my life,mau cek ketersediaan tiket malah pakai antrian durasi menit bikin repot aplikasi gak satset seperti dahulu kala,1,negatif
sebayu farm,aplikasi bnyk kekurangan mau pesen ada antri sgala payah nih pt kai sdh memonopoli tp tdk profesional,1,negatif
27_Octorra Canadian _XI PPLG 1,APK LOAD LAMA,1,negatif
Yono,"aplikasi tidak bisa di buka, sudah di update TPI tidak bisa di buka",1,negatif
bella ika anoraga,kenapa sih hbs update Paswordny malah gk bisa login ini gmna ya maksdnya tolong lah masak hbs di update malah nyusahin gini dipake ya masih enk sblm di update mlahan ...,1,negatif
akhmad yazid,"parah kalah ama calo,udh ada diklik tp no seat Mulu..kacaw",1,negatif
201_Relung Luhur Pitutur,"Astagfirullah kok top up sekian yang masuk kurang dari nominal top up, misal top up 15.000 yang masuk cuman 13.000, scam atau gimana sih, udah 3 kali saya top up cuman rugi di biaya admin yang mahal, masa masuknya kurang dari nominal semua, tolonglah KAI yang bener, dana saya butuhkan segera untuk beli tiket kok malah masuk kurang gini 👎👎👎",1,negatif
Kurnia heningtiyas,kalo masuk aplikasi gak bisa2,1,negatif
Irfan Nurraksasidiq,apknya lemot untuk top up dan pengembalian dana butuh waktu lama.,1,negatif
Ericha Elisabeth,refund susah bgt bosssss,1,negatif
Agus Hermawan,ah aplikasi Ee...masa Email sy salah Melulu. sdh jelas² Email sy Sdh terdaftar du gogle,1,negatif
Alya Anata,"aneh, tiket saya ngga muncul padahal udah beli dan ada bukti transaksi. nyoba beli di jam sama tapi ngga bisa karna udah pesen tapi tetep aja tiketnya ngga muncul. akhirnya mau gamau pesen di hari lain. tolong segera diperbaiki",1,negatif
Hasbul Reza,"saya kecewa dengan pelayanan dan apk nya,karena sudah bayar tiket tapi tiket nya tidak muncul",1,negatif
rizal ahmad,pesen tiket antar kota gagal terus,1,negatif
Daffa Andhika W,Ngelag,1,negatif
Yogi Wahyu,BURUK APLIKASI BURUK,1,negatif
Fathul Ariel,"paling jengkel nih apk setiap mau pesan tiket kereta ada tulisan connection jelek lah, girilan bisa habis semua tiket, ga ke bagian jadinyaaa, capeeee",1,negatif
anisa oktaviana,"mo pesen connecting train, ada jam keberangkatan tp saat dipesan gak bisa,lanjut ke informasi center di stasiun dan gak ada solusi katanya hanya bisa di aplikasi tapi di aplikasi gak bisa dipesan ada invalid lah, ada time apalah, ada not seat available, dan sama yg petugas informasi suruh ke Indomaret. lanjut lah ke Indomaret sama sekali ga ada conecting train. menyusahkan sekali. dlu mah gampang2 aja. pesen connecting bisa langsung bayar dll. dan itu informasi center buat apa kalo gak da solusi",1,negatif
Imam Kusmah07,verifikasi kagak muncul²,1,negatif
Khumayra Zayyina,"Udah diupdate, diuninstall diinstal lagi tetep gabisa masuk (failed) . menyusahkan manusia kalo kaya gini",1,negatif
Mayang Sari,tolol banget dah masa jadwal kereta di stasiun beda sama di aplikasi. apa gunanya,1,negatif
aku g,ribet mau batalin tiket malah gak bisa,1,negatif
Ilham Nurrahman Ash-shiddieqy,"perbaiki kekurangan aplikasi nya, mulai dari top up masuk yang lama pakai m-banking dan kadang harus verifikasi gk jelas padahal sudah terdaftar. jangan sampai bikin kesel, karena aplikasi yang gk bagus kualitas nya.",1,negatif
Satria_Adiputra_ “Satria”,Cemana buat apk tapi tiket gapernah kebagian kocakk,1,negatif
Joks Acrylight,tolol keluar sediri ga bisa masuk,1,negatif
Fikran Sojim,"saya memberi bintang 1 karna bihak kai tidak membolehkan naik kereta dari pariaman ke lubuk alung hanya karna nik tidak sesuai,emang dengan nik tidak sama bisa merusak kereta",1,negatif
Ari Rama Gunanda,"bang admin ini gimana sih, saya mau beli tiket untuk besok, namun saat saya masukan info keberangkatan dan kehadiran, saya ketuk cari, malah ""Ops jadwal tidak di temukan"" begitu ke semua tanggal :( ini solusinya bgimana?",1,negatif
Adnan Darmono,kurang dalam metode pembayaran keluar stasiun masih ngetab lagi,1,negatif
Dinda ajeng fitria,"ga jelas, jenis kelamin sm NIK ke ubah padahal ga pernah ngeubah sebelumnya, karena beli tiket ga sekali dua kali, terus kode otp ga masuk ke email sama sekali, padahal email-nya sama dengan akunnya, CS di stasiun juga ga bisa membantu buat mengubah",1,negatif
Bimoy Pacoel,"beli tiket LRT tujuan cikoko-ciracas, udah masuk ke pembayaran malah loading lama. pas masuk kembali, saldo udh kepotong, liat ke pembelian tiket, tiketnya gak ada, buka riwayat pembayaran malah time out/ error. beberapa jam kemudian, ada riwayat pembelian ""paymerchant"". trus jadinya tiket LRT yang saya udah pesan, kemana tuh? ditunggu info terbarunya. walau kesalahannya gak seberapa, setidaknya ada tanggung jawab dalam menghadapi keresahan para pengguna aplikasi 🙏🏼",1,negatif
Fajar Iswandi,aplikasi nya benaran begini kah??? masa saldo saya udh di potong tpi tiket tidak keluar2 harap kembalikan dana saya jangan main ambil saja..... dr tgl 3 april 2025 buat pelaporan tp sampe sekarang belm ada respon udah di tlpn2 cs nya kata nya chat di fb udh di chat tp tidak ada respon tolong ya kembalikan dana saya yg di potong......,1,negatif
Rapi,masa kode otp nya gk kekirim kirim???,1,negatif
Rio Rinaldi,"susah banget saat pembatalan tiket harus nunggu 7 hari baru dana di kembalikan,pas bayar tiket mau cepat² tapi pas pembatalan harus nunggu lama.",1,negatif
